Reporting Economy,Product/Sector,Partner Economy,2013,2014,2015,2016,2017,2018,2019
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Ecuador,176319017,186563430,181237928,180776012,210906128,187272024,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Egypt,1384166,1073512,982752,1349932,1397985,1218040,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",El Salvador,5760,7182,10147,7253,15297,4149,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Ethiopia,134401,180667,33923,27742,7465,,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Finland,,,,,34207,,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",France,9667860,11467988,8389132,8070854,10183218,10226237,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Gabon,,,,3126,,,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Georgia,,,,,,1060,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Germany,7578162,5654321,6935755,6699831,7764392,7508333,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Ghana,,,,,,4140,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Greece,295562,1065988,517172,177402,348137,866611,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Guatemala,,,,,,3411,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Honduras,183,483,1235,1850,516,852,
Argentina,"MT2 - 03 - Fruits, vegetables, plants","Hong Kong, China",592,32805,22178,,,18028,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Hungary,1629,4716,17475,19805,482874,37459,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",India,19793242,14447733,15851954,10552700,15067999,23365173,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Indonesia,12513645,12702982,12815970,10402435,11732726,9363050,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Iran,1418,,7192,116889,814346,514621,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Ireland,542561,558306,251104,367658,563454,311677,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Israel,1006006,1163989,610506,697428,668544,802667,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Italy,11444871,12999529,11728194,14386774,21525626,17538089,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Jamaica,,,,,,622,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Japan,65653,53305,13522,25935,63007,44630,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Kenya,239110,15415,9596,2695,4510,19820,
Argentina,"MT2 - 03 - Fruits, vegetables, plants","Korea, Republic of",58244,44337,62239,240256,365740,252133,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Lao People's Democratic Republic,486,,3249,,,1499,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Lebanese Republic,51783,98141,31429,28570,63214,101454,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Madagascar,55235,,,,,,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Malawi,129630,178048,39706,57281,2254,5037,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Malaysia,42653,22158,18473,159991,3850,280,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Mexico,2299250,2989697,1972145,3044697,3798855,6590840,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Morocco,357781,959830,359647,374551,457205,355720,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Namibia,,1381,6823,4575,,,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Netherlands,2868982,2402039,1958643,2481547,4716724,7969026,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",New Zealand,144024,163130,160830,305960,417588,364171,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Nigeria,160238,72600,4395,4243,,10119,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",North Macedonia,,,1128,,,,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Norway,,158,,,,,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Pakistan,445652,360156,210191,43,79,43834,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Paraguay,6003272,8120446,10256653,10510796,10031576,9594113,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Peru,6697537,10279818,10073826,10298053,16014783,15737013,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Philippines,5729202,7297386,6302812,5501166,7836312,7515561,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Poland,399863,380250,709590,813717,1586032,929831,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Portugal,26297,5858,6565,18544,1203,630,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Romania,,,4973,795,,,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Russian Federation,240517,573042,725304,577089,156192,117618,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Senegal,53900,101904,1460,,,,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Serbia,30350,157412,57688,87820,125868,20837,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Singapore,61569,45841,46758,52515,39194,65951,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Slovak Republic,,,,156,,308,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Somalia,424107,4024,8937,,10054,11514,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",South Africa,1622153,2363389,1886366,2189206,2188853,2003161,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Spain,5208084,6885443,6529937,9892426,12778886,11944526,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Sri Lanka,,400528,65246,264643,296213,29295,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Sudan,238355,490135,377248,250342,422757,341865,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Sweden,361,722,58071,,10004,150,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Switzerland,709803,459851,654852,491633,877381,716412,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Chinese Taipei,22422,8266,16939,54824,79971,89314,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Thailand,7056672,6195489,6435630,7903320,8702728,6637443,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Tunisia,,,38222,73462,116186,111234,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Turkey,2470653,3565613,2495026,3460782,3769262,3130469,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Ukraine,65450,2133,5456,1380,2370,708,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",United Arab Emirates,,,,63,,,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",United Kingdom,1144009,401531,506535,1592575,314431,599122,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",United States of America,32659921,35350170,27065612,28653809,34817853,33716143,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Uruguay,168761,402891,490295,698154,1110495,225081,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Uzbekistan,35868,8248,13325,12860,14404,16605,
Argentina,"MT2 - 03 - Fruits, vegetables, plants","Venezuela, Bolivarian Republic of",4,,,,,43804,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Viet Nam,271082,2419983,1155910,410192,423408,281492,
Argentina,"MT2 - 03 - Fruits, vegetables, plants",Yemen,,64483,,,,,
Argentina,"MT2 - 04 - Coffee, tea",World,337872227,318383664,321359157,298773385,339076515,,
Argentina,"MT2 - 04 - Coffee, tea",Australia,,,,,10408,,
Argentina,"MT2 - 04 - Coffee, tea",Austria,513936,305906,218041,542230,386795,,
Argentina,"MT2 - 04 - Coffee, tea",Barbados,,146,,188,139,,
Argentina,"MT2 - 04 - Coffee, tea",Belgium,1940831,2933003,1959201,2799486,3062434,,
Argentina,"MT2 - 04 - Coffee, tea","Bolivia, Plurinational State of",530558,419961,269969,2242,19858,,
Argentina,"MT2 - 04 - Coffee, tea",Brazil,263372172,246574209,241103870,210700272,235287255,,
Argentina,"MT2 - 04 - Coffee, tea",Bulgaria,619,2335,1095,4569,11262,,
Argentina,"MT2 - 04 - Coffee, tea",Burundi,,,2606,4954,4045,,
Argentina,"MT2 - 04 - Coffee, tea",Canada,,1407,,94358,493119,,
Argentina,"MT2 - 04 - Coffee, tea",Chile,3814265,2993055,2115672,3299793,4137619,,
Argentina,"MT2 - 04 - Coffee, tea",China,787970,1411729,1369929,771126,1254393,,
Argentina,"MT2 - 04 - Coffee, tea",Colombia,5331061,6760693,8897532,9104324,11546281,,
Argentina,"MT2 - 04 - Coffee, tea",Congo,,,1808,1835,3438,,
Argentina,"MT2 - 04 - Coffee, tea",Costa Rica,191020,23639,68561,19544,30702,,
Argentina,"MT2 - 04 - Coffee, tea",Côte d'Ivoire,,,,60,,,
Argentina,"MT2 - 04 - Coffee, tea",Czech Republic,,65,,,,,
Argentina,"MT2 - 04 - Coffee, tea",Ecuador,7670504,7927572,10809376,10821816,11351768,,
Argentina,"MT2 - 04 - Coffee, tea",El Salvador,,2159,,14592,465,,
Argentina,"MT2 - 04 - Coffee, tea",Ethiopia,,13510,8736,33768,38061,,
Argentina,"MT2 - 04 - Coffee, tea",France,947988,659062,809450,993535,1350163,,
Argentina,"MT2 - 04 - Coffee, tea",Germany,1670466,1363558,1717480,1928539,3772434,,
Argentina,"MT2 - 04 - Coffee, tea",Ghana,,95224,,7,123135,,
Argentina,"MT2 - 04 - Coffee, tea",Guatemala,,9792,11736,3217,71548,,
Argentina,"MT2 - 04 - Coffee, tea",Honduras,2121,,9086,3909,49963,,
Argentina,"MT2 - 04 - Coffee, tea",India,41447,51215,22825,870722,5381440,,
Argentina,"MT2 - 04 - Coffee, tea",Indonesia,3944682,1808677,980084,921449,54602,,
Argentina,"MT2 - 04 - Coffee, tea",Ireland,,587320,,,,,
Argentina,"MT2 - 04 - Coffee, tea",Israel,11879,,,475,1941,,
Argentina,"MT2 - 04 - Coffee, tea",Italy,7320347,6820337,7269529,5887519,5471520,,
Argentina,"MT2 - 04 - Coffee, tea",Japan,9694,14692,16566,17105,19139,,
Argentina,"MT2 - 04 - Coffee, tea",Kenya,46,16698,15103,589,45080,,
Argentina,"MT2 - 04 - Coffee, tea","Korea, Republic of",9727,9132,5722,16694,162971,,
Argentina,"MT2 - 04 - Coffee, tea",Lebanese Republic,,5853,,,3072,,
Argentina,"MT2 - 04 - Coffee, tea",Malawi,,128,23079,367,,,
Argentina,"MT2 - 04 - Coffee, tea",Malaysia,2213747,818015,897546,696010,1557567,,
Argentina,"MT2 - 04 - Coffee, tea",Mexico,2857694,1771875,1420439,1402000,1207187,,
Argentina,"MT2 - 04 - Coffee, tea",Morocco,,,,,15992,,
Argentina,"MT2 - 04 - Coffee, tea",Nepal,,,120,91,,,
Argentina,"MT2 - 04 - Coffee, tea",Netherlands,278688,846224,680544,955903,1001007,,
Argentina,"MT2 - 04 - Coffee, tea",New Zealand,,,,,36,,
Argentina,"MT2 - 04 - Coffee, tea",Nicaragua,,2723,4317,,42104,,
Argentina,"MT2 - 04 - Coffee, tea",Panama,101784,296729,109374,120108,22555,,
Argentina,"MT2 - 04 - Coffee, tea",Papua New Guinea,,4243,3163,2098,3423,,
Argentina,"MT2 - 04 - Coffee, tea",Paraguay,179470,169302,85478,,,,
Argentina,"MT2 - 04 - Coffee, tea",Peru,833867,1547261,1740532,2194810,2064112,,
Argentina,"MT2 - 04 - Coffee, tea",Poland,174355,221615,102500,132317,231793,,
Argentina,"MT2 - 04 - Coffee, tea",Portugal,,,,,3977,,
Argentina,"MT2 - 04 - Coffee, tea",Russian Federation,,139,,,,,
Argentina,"MT2 - 04 - Coffee, tea",Rwanda,,,821,2654,2028,,
Argentina,"MT2 - 04 - Coffee, tea",Singapore,,,97440,,,,
Argentina,"MT2 - 04 - Coffee, tea",South Africa,,,,224,,,
Argentina,"MT2 - 04 - Coffee, tea",Spain,6851048,5036070,6562916,5819870,6721027,,
Argentina,"MT2 - 04 - Coffee, tea",Sri Lanka,181878,250947,235711,172248,209358,,
Argentina,"MT2 - 04 - Coffee, tea",Switzerland,10643570,12934850,13911765,17440463,21648580,,
Argentina,"MT2 - 04 - Coffee, tea",Chinese Taipei,1830,3402,5144,4470,21457,,
Argentina,"MT2 - 04 - Coffee, tea",Tanzania,,7019,2287,3295,2628,,
Argentina,"MT2 - 04 - Coffee, tea",Thailand,,,233,179,,,
Argentina,"MT2 - 04 - Coffee, tea",Turkey,,,,48455,75665,,
Argentina,"MT2 - 04 - Coffee, tea",Uganda,,,1578,7474,2529,,
Argentina,"MT2 - 04 - Coffee, tea",Ukraine,,,,,41,,
Argentina,"MT2 - 04 - Coffee, tea",United Kingdom,4554468,4609736,6080719,4514795,3362061,,
Argentina,"MT2 - 04 - Coffee, tea",United States of America,5546031,5574110,6584598,8372124,4755534,,
Argentina,"MT2 - 04 - Coffee, tea",Uruguay,3800462,3199372,4448624,4424485,3958837,,
Argentina,"MT2 - 04 - Coffee, tea","Venezuela, Bolivarian Republic of",,,96475,,41183,,
Argentina,"MT2 - 04 - Coffee, tea",Viet Nam,1542003,277114,579778,3600031,7980782,,
Argentina,"MT2 - 04 - Coffee, tea",Zambia,,1840,,,,,
Armenia,MT2 - 01 - Animal products,World,103969600,98726829,71320560,55798015,,,
Armenia,MT2 - 01 - Animal products,Argentina,875700,1486748,928770,281764,,,
Armenia,MT2 - 01 - Animal products,Australia,124200,,199,,,,
Armenia,MT2 - 01 - Animal products,Austria,328400,270952,268793,902159,,,
Armenia,MT2 - 01 - Animal products,Belarus,137100,70308,64299,63382,,,
Armenia,MT2 - 01 - Animal products,Belgium,737800,272232,983430,950361,,,
Armenia,MT2 - 01 - Animal products,Brazil,30906200,28164737,19419298,15317830,,,
Armenia,MT2 - 01 - Animal products,Bulgaria,731900,198673,109226,,,,
Armenia,MT2 - 01 - Animal products,Canada,7306500,6875654,5615985,2003253,,,
Armenia,MT2 - 01 - Animal products,China,1175200,1151818,608657,47252,,,
Armenia,MT2 - 01 - Animal products,Croatia,,,,300,,,
Armenia,MT2 - 01 - Animal products,Czech Republic,19800,14740,3431,1434,,,
Armenia,MT2 - 01 - Animal products,Democratic Republic of the Congo,900,,,,,,
Armenia,MT2 - 01 - Animal products,Denmark,55000,373499,916535,131404,,,
Armenia,MT2 - 01 - Animal products,Finland,,,16513,110480,,,
Armenia,MT2 - 01 - Animal products,France,335600,714756,739502,771862,,,
Armenia,MT2 - 01 - Animal products,Georgia,2300,126351,327197,359562,,,
Armenia,MT2 - 01 - Animal products,Germany,2609300,2654227,2101874,847026,,,
Armenia,MT2 - 01 - Animal products,Hungary,53800,34701,270997,194237,,,
Armenia,MT2 - 01 - Animal products,India,13047700,11995906,5793140,5910000,,,
Armenia,MT2 - 01 - Animal products,Iran,3938800,3272228,2902136,2375541,,,
Armenia,MT2 - 01 - Animal products,Ireland,,129012,1137009,730590,,,
Armenia,MT2 - 01 - Animal products,Israel,,6121,5725,4366,,,
Armenia,MT2 - 01 - Animal products,Italy,3451800,3330679,2280668,2241466,,,
Armenia,MT2 - 01 - Animal products,Kazakhstan,,,,8444,,,
Armenia,MT2 - 01 - Animal products,"Korea, Republic of",,,,116,,,
Armenia,MT2 - 01 - Animal products,Lithuania,,,34468,475755,,,
Armenia,MT2 - 01 - Animal products,Madagascar,,,,157,,,
Armenia,MT2 - 01 - Animal products,Morocco,,,163,112,,,
Armenia,MT2 - 01 - Animal products,Netherlands,1512700,1450833,125492,130026,,,
Armenia,MT2 - 01 - Animal products,New Zealand,,,2325,9073,,,
Armenia,MT2 - 01 - Animal products,Norway,384600,46186,,712714,,,
Armenia,MT2 - 01 - Animal products,Pakistan,130400,,,,,,
Armenia,MT2 - 01 - Animal products,Paraguay,242800,818242,591697,216513,,,
Armenia,MT2 - 01 - Animal products,Poland,226300,837691,290716,45751,,,
Armenia,MT2 - 01 - Animal products,Romania,,97613,,,,,
Armenia,MT2 - 01 - Animal products,Russian Federation,1633000,970450,1521607,3679829,,,
Armenia,MT2 - 01 - Animal products,"Saudi Arabia, Kingdom of",,,840,,,,
Armenia,MT2 - 01 - Animal products,Serbia,,,,153654,,,
Armenia,MT2 - 01 - Animal products,Slovak Republic,,,,16430,,,
Armenia,MT2 - 01 - Animal products,South Africa,,,,4000,,,
Armenia,MT2 - 01 - Animal products,Spain,1297600,2597143,861418,382969,,,
Armenia,MT2 - 01 - Animal products,Tanzania,,,3601,,,,
Armenia,MT2 - 01 - Animal products,Turkey,281200,1776487,673430,,,,
Armenia,MT2 - 01 - Animal products,Ukraine,3366900,4912141,6692302,7088964,,,
Armenia,MT2 - 01 - Animal products,United Arab Emirates,3700,7532,,4368,,,
Armenia,MT2 - 01 - Animal products,United Kingdom,484600,558754,65201,,,,
Armenia,MT2 - 01 - Animal products,United States of America,28567800,23510417,15929885,9342915,,,
Armenia,MT2 - 01 - Animal products,Uruguay,,,1930,,,,
Armenia,MT2 - 02 - Dairy products,World,39542000,45812043,32332245,33224800,,,
Armenia,MT2 - 02 - Dairy products,Argentina,1113000,,,,,,
Armenia,MT2 - 02 - Dairy products,Australia,259800,304264,395753,,,,
Armenia,MT2 - 02 - Dairy products,Austria,18900,1462,7933,13869,,,
Armenia,MT2 - 02 - Dairy products,Belarus,1762600,289145,762937,1460385,,,
Armenia,MT2 - 02 - Dairy products,Belgium,195400,18541,5984,12627,,,
Armenia,MT2 - 02 - Dairy products,Brazil,,103040,,,,,
Armenia,MT2 - 02 - Dairy products,Brunei Darussalam,100,,,,,,
Armenia,MT2 - 02 - Dairy products,Bulgaria,29100,23713,19889,31978,,,
Armenia,MT2 - 02 - Dairy products,Canada,438400,,,,,,
Armenia,MT2 - 02 - Dairy products,Chile,93800,915,,,,,
Armenia,MT2 - 02 - Dairy products,Czech Republic,2900,6232,5266,,,,
Armenia,MT2 - 02 - Dairy products,Denmark,127200,87621,562013,355484,,,
Armenia,MT2 - 02 - Dairy products,Finland,2011900,2012503,1323964,1750175,,,
Armenia,MT2 - 02 - Dairy products,France,880200,1154793,1014526,915842,,,
Armenia,MT2 - 02 - Dairy products,Gabon,,,,1645,,,
Armenia,MT2 - 02 - Dairy products,Germany,3334100,2958038,2110654,1602727,,,
Armenia,MT2 - 02 - Dairy products,Greece,66100,71277,52279,38947,,,
Armenia,MT2 - 02 - Dairy products,Hungary,,4472,,747,,,
Armenia,MT2 - 02 - Dairy products,Iceland,,,35,,,,
Armenia,MT2 - 02 - Dairy products,India,32000,,,,,,
Armenia,MT2 - 02 - Dairy products,Indonesia,,,289895,,,,
Armenia,MT2 - 02 - Dairy products,Iran,25600,245299,13380,,,,
Armenia,MT2 - 02 - Dairy products,Ireland,,231,527,867,,,
Armenia,MT2 - 02 - Dairy products,Italy,348400,452142,412481,454769,,,
Armenia,MT2 - 02 - Dairy products,Latvia,,47006,,,,,
Armenia,MT2 - 02 - Dairy products,Lebanese Republic,,19,,,,,
Armenia,MT2 - 02 - Dairy products,Lithuania,176000,110,63021,10846,,,
Armenia,MT2 - 02 - Dairy products,"Moldova, Republic of",,,4519,,,,
Armenia,MT2 - 02 - Dairy products,Netherlands,495900,143015,112609,168492,,,
Armenia,MT2 - 02 - Dairy products,New Zealand,17400300,17807495,11611164,11856042,,,
Armenia,MT2 - 02 - Dairy products,Poland,104400,107982,31735,52182,,,
Armenia,MT2 - 02 - Dairy products,Portugal,,2259,4217,,,,
Armenia,MT2 - 02 - Dairy products,Russian Federation,3915000,5043144,4298522,4602262,,,
Armenia,MT2 - 02 - Dairy products,Serbia,9400,7860,8059,6236,,,
Armenia,MT2 - 02 - Dairy products,Singapore,47600,171975,,,,,
Armenia,MT2 - 02 - Dairy products,Slovak Republic,10400,118377,6490,1770,,,
Armenia,MT2 - 02 - Dairy products,Spain,,,1374,3132,,,
Armenia,MT2 - 02 - Dairy products,Switzerland,84700,4640,19924,15323,,,
Armenia,MT2 - 02 - Dairy products,Thailand,400,,,,,,
Armenia,MT2 - 02 - Dairy products,Ukraine,6395800,14117737,9167525,9831321,,,
Armenia,MT2 - 02 - Dairy products,United Arab Emirates,,208,8,,,,
Armenia,MT2 - 02 - Dairy products,United Kingdom,500,2910,483,,,,
Armenia,MT2 - 02 - Dairy products,United States of America,3500,503619,24812,30801,,,
Armenia,MT2 - 02 - Dairy products,Uruguay,158300,,,6331,,,
Armenia,MT2 - 02 - Dairy products,Viet Nam,,,267,,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",World,70567200,76727108,59023694,59095233,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Afghanistan,4900,,,1337,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Algeria,,662,,,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Argentina,110300,83324,91753,120833,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Australia,200,1920,7218,26213,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Austria,3700,58076,48990,92281,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Belarus,60600,80801,18119,69413,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Belgium,67200,189886,118490,69232,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants","Bolivia, Plurinational State of",13000,,3364,8625,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Brazil,15100,37838,10061,32386,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Bulgaria,153000,213657,138607,112110,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Canada,873500,1281737,1216866,276531,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Chile,269200,417021,87139,179821,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",China,2743600,2333946,1891401,1035104,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Colombia,27100,87155,51849,9260,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Costa Rica,2196400,697406,550034,491945,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Côte d'Ivoire,1300,1429,198,3167,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Croatia,600,237,1191,225,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Cyprus,7300,,2975,,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Czech Republic,88700,77511,7439,60,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Denmark,59500,30384,70284,37633,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Dominican Republic,100,373,87,191,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Ecuador,7636400,9346773,7623564,7782937,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Egypt,1524800,1831961,3621282,5337620,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Eswatini,,93,,,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Ethiopia,3000,28633,242,247,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",France,5200600,5410619,4969636,4655143,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Georgia,4981300,7410361,2291810,3697945,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Germany,134000,488550,694556,441901,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Ghana,100,,47,,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Greece,7648500,1074886,515693,654567,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Guatemala,1000,30,36332,282,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Honduras,103300,32,571,579,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Hungary,1786800,1838932,1316151,1230376,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",India,1157400,1439147,1245780,1061787,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Indonesia,66100,92812,105556,38671,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Iran,9336900,8730899,7394890,6488160,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Ireland,761000,873025,807840,537578,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Israel,103200,137303,62318,309185,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Italy,314100,664802,548859,661756,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Japan,,,172,1930,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Jordan,600,1306,,,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Kenya,30800,12241,12940,14232,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants","Korea, Republic of",200,76,30,,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Kyrgyz Republic,,,125497,44990,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Lebanese Republic,56100,69221,127991,143239,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Luxembourg,,,49220,85011,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Madagascar,,,,34,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Malawi,,38,,,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Malaysia,192500,113314,102928,67451,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Mali,,,,88,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Mauritius,600,1720,1200,924,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Mexico,126700,181166,93576,84680,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants","Moldova, Republic of",163000,815361,354407,212461,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Morocco,200,1749,2355,188,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Mozambique,,,112,,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Netherlands,1985400,3808337,3551055,2642335,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",New Zealand,,37746,1442,1103,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Nigeria,1600,800,65,301,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",North Macedonia,,,,485,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Oman,,,441,,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Pakistan,536900,393392,369173,352005,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Panama,1812500,88998,98895,72176,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Peru,21400,32351,14211,17488,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Philippines,209000,190098,168880,81746,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Poland,377500,381318,219500,500463,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Portugal,629800,331912,255507,295012,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Romania,379800,382401,308768,132245,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Russian Federation,5645600,4640085,4198534,6631317,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants","Saudi Arabia, Kingdom of",1800,39488,22289,33,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Senegal,800,218,468,128,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Serbia,100,197,,,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Slovak Republic,,,896,,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Slovenia,,32,10,737,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",South Africa,605300,858710,762439,563207,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Spain,3056400,2760641,2170852,2485316,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Sri Lanka,8900,5096,1857,6,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Sudan,300,343,183,,,,
Armenia,"MT2 - 03 - Fruits, vegetables, plants",Sweden,500,,,220,,,
