Reporting Economy,Product/Sector,Partner Economy,2013,2014,2015,2016,2017,2018,2019
Albania,MT2 - 01 - Animal products,Turkey,1173294,1273292,775756,986740,1346197,,
Albania,MT2 - 01 - Animal products,Ukraine,,,,196475,46464,,
Albania,MT2 - 01 - Animal products,United Arab Emirates,207684,,39314,,,,
Albania,MT2 - 01 - Animal products,United Kingdom,,48351,88289,165337,925036,,
Albania,MT2 - 01 - Animal products,United States of America,24177363,14007611,10772487,6724715,5754398,,
Albania,MT2 - 01 - Animal products,Uruguay,54464,76686,123330,123780,151072,,
Albania,MT2 - 01 - Animal products,Viet Nam,1322,,6883,,142573,,
Albania,MT2 - 02 - Dairy products,World,20777615,22815095,21316659,23741335,25203722,29878768,
Albania,MT2 - 02 - Dairy products,Austria,388024,718513,767572,1070209,1117265,,
Albania,MT2 - 02 - Dairy products,Belgium,256877,395556,199569,327524,309542,,
Albania,MT2 - 02 - Dairy products,Bosnia and Herzegovina,567095,493550,966415,707179,737759,,
Albania,MT2 - 02 - Dairy products,Brazil,,,,5704,8157,,
Albania,MT2 - 02 - Dairy products,Bulgaria,11070,74064,4524,28581,32344,,
Albania,MT2 - 02 - Dairy products,Canada,210,73,190,,,,
Albania,MT2 - 02 - Dairy products,Chile,,960,,,,,
Albania,MT2 - 02 - Dairy products,China,368921,,,,491207,,
Albania,MT2 - 02 - Dairy products,Croatia,689045,498024,174236,171565,309716,,
Albania,MT2 - 02 - Dairy products,Cyprus,,,,,161,,
Albania,MT2 - 02 - Dairy products,Czech Republic,400,21125,37742,31014,11986,,
Albania,MT2 - 02 - Dairy products,Denmark,76121,150965,52706,140854,207611,,
Albania,MT2 - 02 - Dairy products,Egypt,340767,18430,,,,,
Albania,MT2 - 02 - Dairy products,Estonia,,,,3736,,,
Albania,MT2 - 02 - Dairy products,France,423668,161054,170720,236045,142825,,
Albania,MT2 - 02 - Dairy products,Germany,5064592,4873000,4906065,5506946,5864627,,
Albania,MT2 - 02 - Dairy products,Greece,868103,1134281,1010344,1097761,604983,,
Albania,MT2 - 02 - Dairy products,Hungary,200595,405274,230782,439177,455256,,
Albania,MT2 - 02 - Dairy products,India,,1070,,,,,
Albania,MT2 - 02 - Dairy products,Iran,,,,6282,,,
Albania,MT2 - 02 - Dairy products,Ireland,,302,101220,19570,118558,,
Albania,MT2 - 02 - Dairy products,Italy,7167360,8569388,7575907,8257371,8818081,,
Albania,MT2 - 02 - Dairy products,Japan,,154,,1379,547,,
Albania,MT2 - 02 - Dairy products,"Kuwait, the State of",,,,,589,,
Albania,MT2 - 02 - Dairy products,Latvia,,5947,,,,,
Albania,MT2 - 02 - Dairy products,Lithuania,,71349,165667,158626,245410,,
Albania,MT2 - 02 - Dairy products,Madagascar,,,,,643,,
Albania,MT2 - 02 - Dairy products,Malaysia,,,,,15587,,
Albania,MT2 - 02 - Dairy products,Netherlands,417077,1209834,1008422,1186503,879099,,
Albania,MT2 - 02 - Dairy products,New Zealand,,,76,2800,2068,,
Albania,MT2 - 02 - Dairy products,Nicaragua,,,563,,,,
Albania,MT2 - 02 - Dairy products,Nigeria,,,,,531,,
Albania,MT2 - 02 - Dairy products,North Macedonia,811028,681743,569788,617975,733891,,
Albania,MT2 - 02 - Dairy products,Norway,,4831,,,5971,,
Albania,MT2 - 02 - Dairy products,Pakistan,253,,1334,603,,,
Albania,MT2 - 02 - Dairy products,Poland,697890,506645,334651,229282,218598,,
Albania,MT2 - 02 - Dairy products,Portugal,78714,1150,2338,69759,36800,,
Albania,MT2 - 02 - Dairy products,Romania,874453,731026,763093,837151,805369,,
Albania,MT2 - 02 - Dairy products,"Saudi Arabia, Kingdom of",,,4502,,,,
Albania,MT2 - 02 - Dairy products,Serbia,165743,421154,559210,688272,811669,,
Albania,MT2 - 02 - Dairy products,Slovak Republic,116201,37062,33107,13969,,,
Albania,MT2 - 02 - Dairy products,Slovenia,303067,218029,128220,363915,428088,,
Albania,MT2 - 02 - Dairy products,Spain,298124,329510,452500,369813,627392,,
Albania,MT2 - 02 - Dairy products,Sri Lanka,,,352,,,,
Albania,MT2 - 02 - Dairy products,Sweden,93794,271115,66524,56660,58181,,
Albania,MT2 - 02 - Dairy products,Switzerland,2468,,22121,1772,398,,
Albania,MT2 - 02 - Dairy products,Syrian Arab Republic,,,,,398,,
Albania,MT2 - 02 - Dairy products,Thailand,,,100,889,,,
Albania,MT2 - 02 - Dairy products,Turkey,195852,333270,208515,119724,130108,,
Albania,MT2 - 02 - Dairy products,Ukraine,66919,87001,198119,372824,370409,,
Albania,MT2 - 02 - Dairy products,United Arab Emirates,,395,1260,1281,1136,,
Albania,MT2 - 02 - Dairy products,United Kingdom,40579,118613,66799,58774,53993,,
Albania,MT2 - 02 - Dairy products,United States of America,54449,6070,11819,3612,475,,
